gender_encod,province_encod,school_type_encod,major_correlation_encod,admissions_approach_encode,admissions_score,major_encod,title_encoding,type_encoding,GPA,academic_performance,best_MA_paper_encode,com_type_encoding,company_level
1,13,1,3,0,566.33,1,2.0,0.0,3.5,0.4,0,2.0,2.0
1,13,1,3,0,598.2,1,2.0,1.0,3.6,2.2,0,0.0,0.0
0,13,2,3,0,607.43,1,2.0,1.0,3.2,0.0,0,1.0,2.0
0,13,3,3,1,608.78,2,2.0,0.0,3.4,0.3,0,0.0,2.0
0,3,2,3,1,608.78,2,2.0,1.0,3.5,0.3,0,3.0,0.0
1,14,1,3,1,608.78,2,2.0,0.0,3.7,1.4,0,0.0,1.0
0,16,1,3,1,608.78,2,2.0,1.0,3.6,0.7,0,3.0,0.0
0,13,3,3,0,587.1,2,2.0,0.0,3.4,1.3,0,0.0,2.0
1,13,3,3,0,638.73,2,1.0,1.0,3.8,0.5,0,0.0,1.0
0,10,1,3,0,621.43,2,2.0,1.0,3.4,0.5,0,0.0,1.0
0,13,1,3,0,541.53,2,1.0,0.0,3.6,0.0,0,3.0,0.0
1,13,1,3,0,586.14,2,2.0,0.0,3.4,0.3,0,1.0,1.0
0,13,1,3,0,598.53,2,2.0,1.0,3.5,0.9,0,0.0,2.0
0,13,3,3,1,608.78,3,1.0,0.0,3.8,0.3,0,0.0,2.0
0,11,1,3,1,608.78,3,2.0,1.0,3.5,1.6,0,0.0,2.0
1,8,1,2,1,608.78,3,1.0,1.0,3.4,0.5,0,1.0,0.0
1,13,1,3,1,608.78,3,2.0,1.0,3.8,4.1,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,0.0,3.2,0.3,0,1.0,1.0
1,24,2,3,1,608.78,3,2.0,0.0,3.5,1.4,0,0.0,2.0
0,13,3,1,1,608.78,3,2.0,1.0,3.8,1.9,0,0.0,2.0
1,12,2,3,1,608.78,3,1.0,0.0,3.7,0.9,1,2.0,2.0
0,11,2,3,1,608.78,3,2.0,1.0,3.6,1.8,0,0.0,0.0
0,13,1,3,1,608.78,3,2.0,1.0,3.7,0.9,1,0.0,2.0
0,11,1,3,1,608.78,3,2.0,0.0,3.3,0.1,1,0.0,2.0
0,7,2,3,1,608.78,3,2.0,1.0,3.8,1.0,0,0.0,0.0
1,13,1,3,1,608.78,3,2.0,1.0,3.7,0.3,0,0.0,1.0
0,24,1,3,1,608.78,3,2.0,0.0,3.5,1.2,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,1.0,3.6,3.3,0,0.0,2.0
1,13,1,3,1,608.78,3,1.0,1.0,3.7,1.4,0,0.0,2.0
0,13,2,3,1,608.78,3,2.0,1.0,3.6,0.4,0,0.0,0.0
0,13,1,3,1,608.78,3,2.0,1.0,3.4,2.2,0,0.0,0.0
1,16,2,3,1,608.78,3,2.0,1.0,3.6,0.3,0,0.0,2.0
0,12,2,3,1,608.78,3,1.0,0.0,3.1,1.9,0,1.0,1.0
1,13,2,3,1,608.78,3,1.0,1.0,3.8,1.6,0,0.0,1.0
1,16,1,3,1,608.78,3,2.0,0.0,3.7,0.8,0,0.0,2.0
1,0,2,3,1,608.78,3,2.0,1.0,3.6,1.4,0,1.0,1.0
1,13,1,3,1,608.78,3,2.0,1.0,3.8,0.3,0,0.0,2.0
1,11,2,3,1,608.78,3,2.0,1.0,3.5,0.3,0,0.0,2.0
0,13,3,3,1,608.78,3,2.0,0.0,3.6,0.3,0,0.0,2.0
0,13,3,3,1,608.78,3,1.0,1.0,3.6,0.0,0,3.0,0.0
0,13,3,3,1,608.78,3,2.0,0.0,3.7,0.5,0,2.0,2.0
0,13,1,3,1,608.78,3,1.0,0.0,3.5,1.2,1,0.0,2.0
1,20,1,3,1,608.78,3,2.0,0.0,3.4,1.4,0,0.0,1.0
1,13,3,3,1,608.78,3,1.0,0.0,3.6,0.7,0,0.0,2.0
1,13,3,3,1,608.78,3,2.0,0.0,3.9,2.1,0,1.0,2.0
1,13,3,3,1,608.78,3,2.0,1.0,3.7,0.2,0,0.0,0.0
0,1,1,3,1,608.78,3,1.0,1.0,3.8,2.7,0,0.0,2.0
1,13,1,3,1,608.78,3,2.0,1.0,3.6,1.0,1,0.0,1.0
0,13,1,3,1,608.78,3,2.0,0.0,3.7,0.8,0,0.0,2.0
1,13,1,2,1,608.78,3,1.0,1.0,3.6,1.7,0,0.0,2.0
0,13,2,3,1,608.78,3,2.0,1.0,3.7,0.3,1,1.0,2.0
0,11,2,3,1,608.78,3,1.0,1.0,3.6,0.0,0,3.0,0.0
0,19,1,3,0,620.9,3,1.0,1.0,3.4,0.3,0,3.0,0.0
