StockID,Date,ROE ,OPR,TOAR,TOTC,TAGR,NPGR,IRBR,CurrRatio,QuiRatio,CashRatio,ALR,EquiRatio,Label
300005,2021/12/31,0.025102,0.056096,2.565492,0.492134,0.052217,0.586308,1.34587,6.565401,5.692181,1.783302,0.141777,0.165199,B
300526,2021/12/31,-0.471865,-4.953879,9.96117,0.047723,-0.172496,-1.630614,0.600743,0.722984,0.665245,0.008434,0.572481,1.339079,C
300577,2021/12/31,0.102551,0.085009,4.794182,0.651594,0.158412,-0.289187,0.22297,1.510291,1.118145,0.574798,0.507129,1.028927,B
300591,2021/12/31,-0.293016,-0.385298,1.372454,0.443783,-0.274383,-1.630614,0.835611,1.362772,1.009253,0.091811,0.49712,0.988547,C
300819,2021/12/31,0.028346,0.040208,5.274002,0.50624,-0.016177,-1.35052,0.063283,4.173033,3.266442,2.181867,0.124764,0.142549,B
300840,2021/12/31,0.062933,0.12848,16.735963,0.440634,0.186832,1.18089,0.184141,1.892668,1.504859,0.26179,0.253988,0.34046,B
300877,2021/12/31,0.05469,0.104033,8.6614,0.443787,0.12036,-1.630614,0.140315,4.643673,4.337593,1.124144,0.187619,0.230949,B
300901,2021/12/31,0.071534,0.151579,3.120894,0.506465,0.064121,-0.69681,-0.126851,7.201363,7.031675,5.105781,0.114001,0.128669,B
300918,2021/12/31,0.095188,0.125218,8.933741,0.551785,0.112762,0.523048,0.307527,2.036435,1.474603,0.893807,0.383903,0.623121,B
300945,2021/12/31,0.108026,0.065607,20.817223,1.474035,0.401542,-0.471404,0.532437,8.89211,3.556538,2.717536,0.102759,0.114527,A
300952,2021/12/31,0.132611,0.101794,5.925074,0.765546,0.442404,-0.169715,-0.137306,2.720356,1.936674,0.493491,0.230948,0.300302,B
300979,2021/12/31,0.332114,0.211901,7.022954,1.079747,0.661414,0.090925,0.089089,2.334348,1.808933,0.581182,0.324647,0.480707,B
301066,2021/12/31,0.088893,0.084457,5.413651,0.759179,0.237888,-0.96416,-0.114137,3.221082,2.329772,1.606626,0.256645,0.345253,B
301088,2021/12/31,0.108862,0.244221,15.5899,0.343446,3.102628,1.309681,1.454584,25.120284,21.547202,3.953303,0.038536,0.04008,A
301177,2021/12/31,0.326052,0.353148,26.433622,0.559031,3.280933,0.189873,0.110625,6.368597,5.992533,4.052773,0.169619,0.204266,A
301276,2021/12/31,0.304288,0.210026,33.123412,0.993412,0.143418,-1.630614,0.210138,2.445001,1.579399,0.097442,0.401143,0.669847,A
600107,2021/12/31,0.027116,0.054315,9.153091,0.375182,-0.02373,1.365041,0.133442,1.411668,0.794358,0.483179,0.387507,0.632672,B
600137,2021/12/31,0.038924,0.053626,11.10919,0.602811,-0.04093,-0.456274,0.436479,3.684562,3.178606,2.43858,0.214402,0.272916,B
600156,2021/12/31,-0.125105,-0.100673,9.672168,0.734531,-0.011856,-1.630614,1.055377,1.767132,1.508894,0.359808,0.495858,0.983568,B
